"wage" "exp" "ed"
"1" 259.999575936309 3 9
"2" 304.999458135221 4 9
"3" 401.99916037603 5 9
"4" 401.99916037603 6 9
"5" 429.001321781917 7 9
"6" 480.001870130714 8 9
"7" 515.00159616065 9 9
"8" 474.997718089027 30 11
"9" 500.000950789808 31 11
"10" 525.00091214019 32 11
"11" 694.998717333653 33 11
"12" 809.996559397455 34 11
"13" 889.998698174647 35 11
"14" 912.00000905221 36 11
"15" 285.00023362353 6 12
"16" 623.999770137519 7 12
"17" 698.000626272145 8 12
"18" 737.001553458096 9 12
"19" 809.000876100155 10 12
"20" 878.995694945272 11 12
"21" 953.996497444765 12 12
"22" 472.000478803861 31 10
"23" 511.997631985248 32 10
"24" 545.002291913351 33 10
"25" 577.997763911691 34 10
"26" 644.999795666759 35 10
"27" 707.997101670779 36 10
"28" 751.003265532234 37 10
"29" 624.9989689156 10 16
"30" 749.997595106089 11 16
"31" 760.001190707847 12 16
"32" 1077.99703392056 13 16
"33" 1150.00319544355 14 16
"34" 1499.99941936466 15 16
"35" 1474.00726278545 16 16
"36" 997.996730246516 26 12
"37" 997.996730246516 27 12
"38" 1000.00472102901 28 12
"39" 1100.00499534623 29 12
"40" 1174.99597377744 30 12
"41" 1844.99159332346 31 12
"42" 1539.00287202464 32 12
"43" 461.000902179428 15 12
"44" 480.001870130714 16 12
"45" 499.001948223795 17 12
"46" 552.001078456097 18 12
"47" 586.997170767726 19 12
"48" 630.000113787096 20 12
"49" 679.998097246959 21 12
"50" 561.998960360707 23 10
"51" 603.997464452694 24 10
"52" 694.998717333653 25 10
"53" 707.997101670779 26 10
"54" 728.997279370765 27 10
"55" 913.999477691056 28 10
"56" 984.004037308865 29 10
"57" 699.999765469656 3 16
"58" 699.999765469656 4 16
"59" 899.99571301833 5 16
"60" 1000.00472102901 6 16
"61" 1200.0037970747 7 16
"62" 1300.00059351562 8 16
"63" 1350.00017356617 9 16
"64" 600.000206870348 3 16
"65" 624.9989689156 4 16
"66" 624.9989689156 5 16
"67" 624.9989689156 6 16
"68" 679.998097246959 7 16
"69" 744.996857313857 8 16
"70" 845.002849887994 9 16
"71" 778.999185267113 24 12
"72" 833.997162437632 25 12
"73" 899.99571301833 26 12
"74" 1000.00472102901 27 12
"75" 1140.99960080744 28 12
"76" 1245.99539062167 29 12
"77" 1400.00347815963 30 12
"78" 699.999765469656 21 12
"79" 756.997537151858 22 12
"80" 831.00017047514 23 12
"81" 839.998410858121 24 12
"82" 831.00017047514 25 12
"83" 1044.99773820559 26 12
"84" 1155.99878708807 27 12
"85" 997.996730246516 26 12
"86" 992.999340603363 27 12
"87" 1300.00059351562 28 12
"88" 1430.0003957469 29 12
"89" 1421.00550198467 30 12
"90" 1414.99319375694 31 12
"91" 1636.00078992203 32 12
"92" 899.99571301833 15 17
"93" 899.99571301833 16 17
"94" 1018.00488935329 17 17
"95" 1100.00499534623 18 17
"96" 1250.00146213042 19 17
"97" 1242.00215798504 20 17
"98" 1240.00414334406 21 17
"99" 379.999523966534 9 14
"100" 351.001325565984 10 14
"101" 403.001385537869 11 14
"102" 439.000257660075 12 14
"103" 598.999042729611 13 14
"104" 649.998464123521 14 14
"105" 649.998464123521 15 14
"106" 395.001672867599 16 12
"107" 325.001565746607 17 12
"108" 349.998895932531 18 12
"109" 384.998716301343 19 12
"110" 467.000346668754 20 12
"111" 481.001313080921 21 12
"112" 594.999163700938 22 12
"113" 749.997595106089 16 14
"114" 660.000108886498 17 14
"115" 879.998321426019 18 14
"116" 850.003102943956 19 14
"117" 1200.0037970747 20 14
"118" 1250.00146213042 21 14
"119" 1250.00146213042 22 14
"120" 997.996730246516 25 16
"121" 997.996730246516 26 16
"122" 1999.99508092189 27 16
"123" 2099.99449021305 28 16
"124" 2250.01013582628 29 16
"125" 2399.99036081287 30 16
"126" 2449.99190634338 31 16
"127" 594.000404298726 40 12
"128" 647.999548763883 41 12
"129" 693.998639409611 42 12
"130" 792.997445247681 43 12
"131" 846.999411629914 44 12
"132" 926.996694726345 45 12
"133" 1028.99718483061 46 12
"134" 883.004237876873 25 16
"135" 950.996136527182 26 16
"136" 1080.00397427959 27 16
"137" 1162.00239672989 28 16
"138" 1347.00649739091 29 16
