cena  rozloha vzdialenost
90.81008 113 3.408
85.11949 42 0.976
95.44768 57 6.264
97.26683 53 2.061
110.51456 210 5.417
69.97471 26 0.821
109.71198 136 1.528
86.6003 37 5.905
121.89094 244 5.214
115.17882 118 2.237
109.84689 204 2.718
113.18236 150 8.278
89.51611 72 5.721
68.59735 24 2.68
113.47046 112 7.016
63.96996 22 9.84
104.71945 125 8.336
108.70197 166 3.967
95.57784 80 8.771
108.84857 176 2.159
121.97261 250 2.402
122.11712 245 0.12
117.20145 173 5.428
97.66891 64 3.863
126.00621 217 0.18
111.41552 194 8.576
99.40426 66 6.131
103.33522 93 7.135
99.59838 55 8.536
76.26706 28 1.349
92.23082 89 5.65
123.05114 172 0.33
122.23754 177 0.07
85.7971 73 2.43
91.38783 75 6.681
106.80276 180 0.027
116.85212 242 3.787
116.83315 136 7.942
102.81601 157 1.293
80.38447 48 0.013
81.72709 34 7.752
108.14451 177 4.427
79.63712 35 2.588
91.53742 68 9.601
111.54058 112 1.11
127.13964 241 1.02
116.23895 215 2.724
132.23363 226 0.98
106.8288 108 4.848
120.34922 174 6.713
