dealer;izby;rozloha;resale;cena
Owner;2;1300.236407;Yes;55
Dealer;2;1275;Yes;51
Owner;2;933.1597222;Yes;43
Owner;2;929.9211427;Yes;62.5
Dealer;2;999.009247;Yes;60.5
Owner;3;1250;Yes;42
Dealer;3;1495.053957;Yes;66.5
Owner;3;1181.012946;Yes;52
Dealer;2;1040;Yes;41.6
Owner;2;879.1208791;Yes;36
Owner;3;1350.308642;Yes;35
Dealer;2;1333.010179;Yes;110
Owner;2;927.1779023;Yes;48
Owner;2;1122.171946;Yes;62
Owner;1;649.9837504;Yes;20
Dealer;3;1394.117647;Yes;71.1
Owner;3;1800.08471;Yes;85
Dealer;3;2124.896706;Yes;180
Owner;2;1100;Yes;22
Dealer;3;2178.649237;Yes;120
Owner;2;881.1435285;Yes;45
Dealer;2;944.8818898;Yes;42
Dealer;3;1310.147689;Yes;55
Dealer;1;630.00063;Yes;300
Dealer;2;1219.80971;Yes;50
Owner;2;780.141844;Yes;27.5
Owner;3;1600;Yes;46
Dealer;2;1180.412371;Yes;22.9
Owner;2;1000;Yes;39
Dealer;2;1000;Yes;12.5
Dealer;3;1400.107701;Yes;52
Dealer;2;943.1266076;Yes;33
Owner;2;1150.146382;Yes;55
Dealer;1;864.0674394;Yes;82
Dealer;2;857.7861968;No;240
Owner;3;1174.210077;Yes;55
Dealer;2;1020.087884;Yes;65
Owner;4;1650.165017;Yes;65
Dealer;2;1000;Yes;35
Owner;3;1300.052002;Yes;75
Dealer;1;40606.19568;No;9110
Dealer;2;1058.114928;Yes;65
Dealer;1;400;Yes;30
Dealer;3;1274.924779;Yes;250
Dealer;2;1026.694045;Yes;220
Owner;2;1150.121065;Yes;38
Owner;3;1200;Yes;60
Dealer;1;475.0103263;Yes;46
Builder;1;301.9171163;No;26.3
Dealer;2;1228.571429;Yes;51.6
Owner;2;986.0164934;Yes;55
Dealer;3;1972.565158;Yes;71.9
Dealer;1;420.6166888;Yes;130
Owner;3;1275.009808;Yes;32.5
Dealer;1;406.024219;No;39.9
Dealer;3;1862.562189;Yes;59.9
Owner;2;950.0146156;Yes;65
Owner;4;5200.945626;Yes;110
Dealer;2;1049.969344;Yes;68.5
Dealer;3;1615.008157;Yes;99
Dealer;3;1150.0069;Yes;250
Owner;2;1100;Yes;27.5
Dealer;2;906.2661833;No;70
Owner;3;1454.333915;Yes;50
Owner;3;1591.994542;Yes;70
Dealer;2;573.8769151;Yes;22.1
Dealer;3;1038.883942;Yes;280
Owner;3;1538.141758;Yes;74
Owner;2;5000;Yes;85
Dealer;3;1602.084012;Yes;49.2
Owner;2;1200;Yes;45
Owner;2;760.07094;Yes;60
Owner;2;739.8273736;Yes;30
Owner;2;1260.02291;Yes;33
