stolicky presso konkurencia trzby
25 3.43 7 4644.55
43 1.44 13 4410.19
19 1.84 9 2386.24
19 1.05 7 2318.49
21 2.42 4 2747.28
29 1.07 7 3217.85
19 1.57 8 2369.45
6 1.99 2 1377.19
19 3.82 8 3378.21
11 1.35 9 1595.73
20 2.76 9 2606.29
19 1.83 1 2544.91
11 2.5 3 1882.16
4 3.82 3 727.72
19 2.88 7 2573.4
9 2.11 7 1563.29
14 3.78 8 2375.02
18 2.38 8 2393.59
26 2.41 8 3118.28
13 2.63 1 2117.19
13 3.35 4 2447.75
27 2.64 2 3362.04
14 1.6 1 2062.18
18 3.65 2 3598.1
17 1.35 10 2122.84
18 3.22 5 3382.71
10 2.09 5 1688.85
22 2.32 4 2821.38
16 2.18 2 2306.62
28 1.1 1 3254.68
26 3.11 0 5330.32
12 1.1 0 1828.37
13 1.25 0 1945.37
19 2.85 8 2551.43
20 3.64 2 4000.46
18 2.51 7 2434.5
16 1.29 4 2140.71
34 1.42 4 3778.46
14 3.08 4 2649.05
23 2.17 5 2874.93
11 1.22 3 1703.81
22 1.41 9 2598.97
28 2.6 4 3404.51
17 1.78 6 2259.33
28 3.69 6 5318.19
22 1.51 13 2530.86
21 3.76 3 4125.15
24 2.63 8 2968.61
26 3.51 3 5123.74
28 2.69 7 3353.23
13 1.04 9 1737.93
11 2.94 5 1977.57
31 3.76 7 5847.97
26 3.64 7 4850.72
18 2.39 2 2517.43
15 1.16 5 2010.54
18 2.35 1 2531.58
14 3.77 8 2379.54
23 3.81 8 4178.04
12 3.98 7 2048.68
17 1.18 1 2274.81
24 1.6 13 2725.65
12 1.73 11 1702.35
2 2.5 7 990.96
12 1.27 2 1817.13
14 2.76 9 2064.88
27 3.76 3 5325.62
27 2.39 0 3363.85
19 2.06 2 2555.43
18 3.82 2 3595.93
24 3.05 3 4721.53
22 2.07 4 2792.38
18 1.89 0 2485.12
13 1.6 6 1875.52
24 1.37 5 2853.92
16 2.25 9 2173.07
32 1.14 5 3540.62
29 1.95 1 3462.9
29 1.19 2 3337.26
16 2.93 3 2389.5
23 3.92 0 4737.61
32 2.06 5 3667.36
27 1.63 4 3177.02
12 1.18 2 1805.78
19 2.71 0 2691.46
19 3.07 8 3371.52
37 2.76 4 4239.39
30 4.08 0 6143.32
12 3.69 2 2394.07
14 1.5 15 1771.32
7 2.2 1 1521.71
21 2.64 2 2818.25
19 1.26 4 2405.04
21 2.53 7 2704.11
20 2.89 4 2719.76
17 3.37 1 3460.98
15 3.15 5 2779.72
19 3.43 3 3725.6
15 3.88 10 2439.06
28 2.8 7 3372.49
